Shanghai,上海
Yunnan,云南
nei mongol,内蒙古
Beijing,北京
Taiwan,台湾
Jilin,吉林
Sichuan,四川
Tianjin,天津
ningxia huizu,宁夏
Anhui,安徽
Shandong,山东
Shanxi,山西
Guangdong,广东
guangxi zhuangzu,广西
xinjiang uygur,新疆
Jiangsu,江苏
Jiangxi,江西
Hebei,河北
Henan,河南
Zhejiang,浙江
Hainan,海南
Hubei,湖北
Hunan,湖南
macau,澳门
Gansu,甘肃
Fujian,福建
xizang,西藏
Guizhou,贵州
Liaoning,辽宁
Chongqing,重庆
Shaanxi,陕西
Qinghai,青海
HongKong,香港
Heilongjiang,黑龙江
